Date,Client Type,Product Name,Unit Price,Product Quantity,Total Price,Payment Type
2025-07-22,Retail,Zontes GK350,269000,20,5380000,Cash
2025-06-15,Wholesale,Yamaha FZi 150,99900,18,1798200,Credit card
2025-08-11,Wholesale,Zontes GK350,269000,41,11029000,Credit card
2025-07-31,Retail,Italjet Dragster 200,867000,50,14450000,Cash
2025-06-21,Wholesale,Zontes 310X,248000,7,1736000,Cash
2025-08-22,Retail,Zontes 310X,248000,3,744000,Cash
2025-08-26,Retail,Yamaha Aerox 155,124000,28,3472000,Credit card
2025-08-14,Unknown,KTM 790 Duke,599000,14,8386000,Cash
2025-08-14,Retail,Bajaj Dominar 400,199900,12,2398800,Transfer
2025-08-27,Wholesale,KTM 790 Duke,599000,46,27554000,Credit card
2025-06-24,Wholesale,Vespa GTS Super 300,398000,19,7562000,Credit card
2025-06-03,Wholesale,Moto Guzzi V7 Stone,689000,13,8957000,Cash
2025-06-22,Retail,Bristol Veloce 500,328000,4,1312000,Credit card
2025-07-23,Retail,Honda Click 125i,80900,14,1132600,Cash
2025-06-02,Retail,CFMoto 300SR,165000,9,1485000,Transfer
2025-08-27,Retail,Vespa Primavera 150,210000,2,420000,Cash
2025-06-30,Wholesale,Honda ADV 160,164900,5,824500,Cash
2025-07-08,Wholesale,Suzuki Burgman Street 125,80900,42,3397800,Transfer
2025-06-02,Retail,Moto Guzzi V7 Stone,689000,10,6890000,Transfer
2025-08-03,Retail,CFMoto 650MT,345000,47,16215000,Cash
2025-07-30,Wholesale,Yamaha MT-15,178000,15,2670000,Credit card
2025-06-21,Retail,Yamaha Sniper 155,125900,24,3021600,Credit card
2025-07-03,Retail,Yamaha FZi 150,99900,19,1898100,Credit card
2025-08-15,Retail,Keeway RKS 150 Sport,206700,4,275600,Cash
2025-07-28,Wholesale,Husqvarna Svartpilen 401,295000,49,14455000,Transfer
2025-06-22,Retail,Keeway RKS 150 Sport,68900,3,206700,Cash
2025-08-28,Wholesale,Yamaha XMAX 300,319000,22,7018000,Cash
2025-07-19,Wholesale,Bajaj Dominar 400,199900,15,2998500,Cash
2025-08-30,Wholesale,Honda CBR500R,389000,2,778000,Cash
2025-07-29,Retail,Honda CRF300L,284900,42,11965800,Credit card
2025-07-12,Wholesale,Suzuki GSX-S150,125000,19,2375000,Cash
2025-08-31,Retail,Honda CRF300L,284900,3,854700,Transfer
2025-07-30,Retail,Suzuki Raider R150 Fi,119900,6,719400,Transfer
2025-08-19,Wholesale,Vespa GTS Super 300,398000,20,7960000,Credit card
2025-06-15,Wholesale,Suzuki Avenis 125,79900,7,559300,Credit card
2025-08-01,Wholesale,BMW G 310 GS,320000,5,1600000,Credit card
2025-08-01,Retail,BMW G 310 GS,320000,18,5760000,Transfer
2025-07-17,Wholesale,Rusi Flash 125,48000,50,2400000,Transfer
2025-08-01,Wholesale,Suzuki Raider R150 Fi,359700,9,1079100,Credit card
2025-07-21,Retail,Suzuki GSX-S150,125000,11,1375000,Cash
2025-07-25,Retail,SYM Jet X 150,128000,18,2304000,Transfer
2025-08-03,Wholesale,Yamaha Aerox 155,124000,12,1488000,Credit card
2025-06-03,Retail,Keeway RKS 150 Sport,68900,35,2411500,Credit card
