date,client_type,product,unitprice,quantity,total,payment
7/22/2025,Retail,Zontes GK350,269000,20,5380000,Cash
6/15/2025,Wholesale,Yamaha FZi 150,99900,18,1798200,Credit card
8/11/2025,Wholesale,Zontes GK350,269000,41,11029000,Credit card
7/31/2025,Retail,Italjet Dragster 200,867000,50,14450000,Cash
6/21/2025,Wholesale,Zontes 310X,248000,7,1736000,Cash
8/22/2025,Retail,Zontes 310X,248000,3,744000,Cash
8/26/2025,Retail,Yamaha Aerox 155,124000,28,3472000,Credit card
8/14/2025,,KTM 790 Duke,599000,14,8386000,Cash
8/14/2025,Retail,Bajaj Dominar 400,199900,12,2398800,Transfer
8/27/2025,Wholesale,KTM 790 Duke,599000,46,27554000,Credit card
6/24/2025,Wholesale,Vespa GTS Super 300,398000,19,7562000,Credit card
6/3/2025,Wholesale,Moto Guzzi V7 Stone,689000,13,8957000,Cash
6/22/2025,Retail,Bristol Veloce 500,328000,4,1312000,Credit card
7/23/2025,Retail,Honda Click 125i,80900,14,1132600,Cash
6/2/2025,Retail,CFMoto 300SR,165000,9,1485000,Transfer
8/27/2025,Retail,Vespa Primavera 150,210000,2,420000,Cash
6/30/2025,Wholesale,Honda ADV 160,164900,5,824500,Cash
7/8/2025,Wholesale,Suzuki Burgman Street 125,80900,42,3397800,Transfer
6/2/2025,Retail,Moto Guzzi V7 Stone,689000,10,6890000,Transfer
8/3/2025,Retail,CFMoto 650MT,345000,47,16215000,Cash
7/30/2025,Wholesale,Yamaha MT-15,178000,15,2670000,Credit card
6/21/2025,Retail,Yamaha Sniper 155,125900,24,3021600,Credit card
7/3/2025,Retail,Yamaha FZi 150,99900,19,1898100,Credit card
8/15/2025,Retail,Keeway RKS 150 Sport,206700,4,275600,Cash
7/28/2025,Wholesale,Husqvarna Svartpilen 401,295000,49,14455000,Transfer
6/22/2025,Retail,Keeway RKS 150 Sport,68900,3,206700,Cash
8/28/2025,Wholesale,Yamaha XMAX 300,319000,22,7018000,Cash
7/19/2025,Wholesale,Bajaj Dominar 400,199900,15,2998500,Cash
8/30/2025,Wholesale,Honda CBR500R,389000,2,778000,Cash
7/29/2025,Retail,Honda CRF300L,284900,42,11965800,Credit card
7/12/2025,Wholesale,Suzuki GSX-S150,125000,19,2375000,Cash
8/31/2025,Retail,Honda CRF300L,284900,3,854700,Transfer
7/30/2025,Retail,Suzuki Raider R150 Fi,119900,6,719400,Transfer
8/19/2025,Wholesale,Vespa GTS Super 300,398000,20,7960000,Credit card
6/15/2025,Wholesale,Suzuki Avenis 125,79900,7,559300,Credit card
8/1/2025,Wholesale,BMW G 310 GS,320000,5,1600000,Credit card
8/1/2025,Retail,BMW G 310 GS,320000,18,5760000,Transfer
7/17/2025,Wholesale,Rusi Flash 125,48000,50,2400000,Transfer
8/1/2025,Wholesale,Suzuki Raider R150 Fi,359700,9,1079100,Credit card
7/21/2025,Retail,Suzuki GSX-S150,125000,11,1375000,Cash
7/25/2025,Retail,SYM Jet X 150,128000,18,2304000,Transfer
8/3/2025,Wholesale,Yamaha Aerox 155,124000,12,1488000,Credit card
6/3/2025,Retail,Keeway RKS 150 Sport,68900,35,2411500,Credit card
7/21/2025,Wholesale,Vespa Primavera 150,210000,13,2730000,Transfer
6/7/2025,Retail,SYM Jet X 150,128000,43,5504000,Transfer
6/21/2025,Retail,Benelli 502C,349000,21,7329000,Transfer
8/12/2025,Retail,Honda CRF300L,284900,2,569800,Cash
7/9/2025,Retail,Suzuki GSX-S150,125000,9,1125000,Credit card
6/18/2025,Wholesale,Honda ADV 160,164900,50,8245000,Credit card
6/4/2025,Retail,Yamaha Aerox 155,124000,2,248000,Credit card
8/28/2025,Retail,Suzuki Burgman Street 125,80900,25,2022500,Credit card
7/30/2025,Retail,BMW R nineT,995000,33,32835000,Transfer
6/14/2025,Retail,Moto Guzzi V7 Stone,689000,43,29627000,Transfer
